Date,Price,Close,High,Low,Open,Volume,FEDFUNDS,CPIAUCNS
2015-01-02,173.17376708984375,205.42999267578125,206.8800048828125,204.17999267578125,206.3800048828125,121465900,0.11,233.707
2015-01-05,170.0462646484375,201.72000122070312,204.3699951171875,201.35000610351562,204.1699981689453,169632600,0.11,233.707
2015-01-06,168.44459533691406,199.82000732421875,202.72000122070312,198.86000061035156,202.08999633789062,209151400,0.11,233.707
2015-01-07,170.543701171875,202.30999755859375,202.72000122070312,200.8800048828125,201.4199981689453,125346700,0.11,233.707
2015-01-08,173.5699462890625,205.89999389648438,206.16000366210938,203.99000549316406,204.00999450683594,147217800,0.11,233.707
2015-01-09,172.17904663085938,204.25,206.4199981689453,203.50999450683594,206.39999389648438,158567300,0.11,233.707
2015-01-12,170.83029174804688,202.64999389648438,204.60000610351562,201.9199981689453,204.41000366210938,144396100,0.11,233.707
2015-01-13,170.34976196289062,202.0800018310547,205.47999572753906,200.50999450683594,204.1199951171875,214553300,0.11,233.707
2015-01-14,169.32130432128906,200.86000061035156,201.10000610351562,198.57000732421875,199.64999389648438,192991100,0.11,233.707
2015-01-15,167.770263671875,199.02000427246094,202.00999450683594,198.8800048828125,201.6300048828125,176613900,0.11,233.707
2015-01-16,169.97042846679688,201.6300048828125,201.82000732421875,198.5500030517578,198.77000427246094,211879600,0.11,233.707
2015-01-20,170.3328857421875,202.05999755859375,202.72000122070312,200.1699981689453,202.39999389648438,130991100,0.11,233.707
2015-01-21,171.1927490234375,203.0800018310547,203.66000366210938,200.94000244140625,201.5,122942700,0.11,233.707
2015-01-22,173.7385711669922,206.10000610351562,206.25999450683594,202.3300018310547,203.99000549316406,174356000,0.11,233.707
2015-01-23,172.7859344482422,204.97000122070312,206.10000610351562,204.80999755859375,205.7899932861328,117516800,0.11,233.707
2015-01-26,173.19068908691406,205.4499969482422,205.55999755859375,203.85000610351562,204.7100067138672,92009700,0.11,233.707
2015-01-27,170.90618896484375,202.74000549316406,204.1199951171875,201.74000549316406,202.97000122070312,134044600,0.11,233.707
2015-01-28,168.71435546875,200.13999938964844,204.2899932861328,199.91000366210938,204.1699981689453,168514300,0.11,233.707
2015-01-29,170.2738800048828,201.99000549316406,202.3000030517578,198.67999267578125,200.3800048828125,173585400,0.11,233.707
2015-01-30,168.13270568847656,199.4499969482422,202.1699981689453,199.1300048828125,200.57000732421875,197729700,0.11,233.707
2015-02-02,170.21487426757812,201.9199981689453,202.02999877929688,197.86000061035156,200.0500030517578,163107000,0.11,234.722
2015-02-03,172.67640686035156,204.83999633789062,204.85000610351562,202.5500030517578,203.0,124212900,0.11,234.722
2015-02-04,172.01890563964844,204.05999755859375,205.3800048828125,203.50999450683594,203.9199981689453,134306700,0.11,234.722
2015-02-05,173.75543212890625,206.1199951171875,206.3000030517578,204.77000427246094,204.86000061035156,97953200,0.11,234.722
2015-02-06,173.27491760253906,205.5500030517578,207.24000549316406,204.9199981689453,206.55999755859375,125672000,0.11,234.722
2015-02-09,172.49937438964844,204.6300048828125,205.63999938964844,204.13999938964844,204.77000427246094,87219000,0.11,234.722
2015-02-10,174.33706665039062,206.80999755859375,207.1199951171875,204.67999267578125,205.8800048828125,96164200,0.11,234.722
2015-02-11,174.43820190429688,206.92999267578125,207.4499969482422,205.8300018310547,206.61000061035156,91087800,0.11,234.722
2015-02-12,176.1157684326172,208.9199981689453,208.99000549316406,206.97000122070312,207.88999938964844,97545900,0.11,234.722
2015-02-13,176.8407440185547,209.77999877929688,209.83999633789062,208.75999450683594,209.07000732421875,93670400,0.11,234.722
2015-02-17,177.11892700195312,210.11000061035156,210.32000732421875,209.10000610351562,209.39999389648438,76968200,0.11,234.722
2015-02-18,177.1357879638672,210.1300048828125,210.22000122070312,209.33999633789062,209.66000366210938,80652900,0.11,234.722
2015-02-19,177.0093536376953,209.97999572753906,210.4199981689453,209.24000549316406,209.41000366210938,91462500,0.11,234.722
2015-02-20,178.07150268554688,211.24000549316406,211.3300018310547,208.72999572753906,209.47999572753906,140896400,0.11,234.722
2015-02-23,178.0462188720703,211.2100067138672,211.2100067138672,210.47999572753906,210.94000244140625,74411100,0.11,234.722
2015-02-24,178.55197143554688,211.80999755859375,212.0500030517578,210.75999450683594,211.1199951171875,72472300,0.11,234.722
2015-02-25,178.40025329589844,211.6300048828125,212.24000549316406,211.22000122070312,211.66000366210938,73061700,0.11,234.722
2015-02-26,178.1895294189453,211.3800048828125,211.7100067138672,210.64999389648438,211.52000427246094,72697900,0.11,234.722
2015-02-27,177.5825653076172,210.66000366210938,211.5800018310547,210.60000610351562,211.25999450683594,108076000,0.11,234.722
2015-03-02,178.7037353515625,211.99000549316406,212.05999755859375,210.72000122070312,210.77999877929688,87491400,0.11,236.119
2015-03-03,177.97032165527344,211.1199951171875,212.0500030517578,210.0800018310547,211.47000122070312,110325800,0.11,236.119
2015-03-04,177.2200927734375,210.22999572753906,210.49000549316406,209.05999755859375,210.39999389648438,114497200,0.11,236.119
2015-03-05,177.4139862060547,210.4600067138672,210.8000030517578,209.85000610351562,210.6199951171875,76873000,0.11,236.119
2015-03-06,174.91873168945312,207.5,209.94000244140625,207.10000610351562,209.4199981689453,188128000,0.11,236.119
2015-03-09,175.6437225341797,208.36000061035156,208.7899932861328,207.5500030517578,207.74000549316406,89818900,0.11,236.119
2015-03-10,172.79444885253906,204.97999572753906,206.80999755859375,204.92999267578125,206.7100067138672,157121300,0.11,236.119
2015-03-11,172.38978576660156,204.5,205.5,204.39999389648438,205.2899932861328,110145700,0.11,236.119
2015-03-12,174.58155822753906,207.10000610351562,207.17999267578125,205.1999969482422,205.25999450683594,93993500,0.11,236.119
2015-03-13,173.51097106933594,205.8300018310547,207.92999267578125,204.5800018310547,206.77000427246094,162410900,0.11,236.119
2015-03-16,175.82920837402344,208.5800018310547,208.69000244140625,205.86000061035156,206.7100067138672,136099200,0.11,236.119
2015-03-17,175.30653381347656,207.9600067138672,208.4199981689453,206.97999572753906,207.69000244140625,94510400,0.11,236.119
